Ref	Query	dN	dS	dNdS
Bradi1g14250	Os12t0601000-00	0.0822	0.3874	0.2122
Bradi2g21980	Os05t0486200-01	0.1558	0.4782	0.3257
Bradi2g20687	Os05t0501400-01	0.0797	0.3567	0.2235
Bradi1g61260	Os03t0376100-01	0.0607	0.4403	0.1378
Bradi3g54885	Os03t0295300-01	0.1645	0.5047	0.3259
Bradi5g16830	Os04t0534300-01	0.1146	2.8019	0.0409
Bradi3g37610	Os11t0241900-01	0.1824	0.9503	0.1920
Bradi2g44020	Os05t0584200-01	0.2653	0.7638	0.3474
Bradi3g01406	Os07t0554100-00	0.1321	0.4172	0.3166
Bradi1g37470	Os02t0220100-00	0.2265	1.4042	0.1613
Bradi1g11317	Os03t0711200-01	0.0282	0.3857	0.0731
Bradi2g01420	Os01t0119000-01	0.1885	0.8286	0.2274
Bradi4g20511	Os01t0930300-01	0.2582	7.8344	0.0330
Bradi5g15850	Os02t0628200-01	0.0583	0.3413	0.1709
Bradi3g27136	Os10t0431000-03	0.0814	0.4461	0.1824
Bradi2g42932	Os01t0604700-01	0.0654	0.4250	0.1539
Bradi5g22017	Os03t0306200-01	0.1052	1.3672	0.0769
Bradi5g10980	Os04t0446500-02	0.0478	1.1077	0.0431
Bradi3g22550	Os10t0167300-01	0.1338	0.7400	0.1808
Bradi1g59470	Os07t0105800-00	0.0174	0.5050	0.0344
Bradi2g47560	Os01t0701900-01	0.1723	0.5839	0.2951
Bradi3g48540	Os02t0612000-01	0.3975	2.2832	0.1741
Bradi2g36170	Os11t0212100-00	0.0513	1.5589	0.0329
Bradi4g41040	Os12t0181600-01	0.0827	1.9416	0.0426
Bradi4g37770	Os09t0558900-01	0.1789	1.6871	0.1060
Bradi1g41840	Os06t0367500-01	0.3718	1.9957	0.1863
Bradi1g64860	Os03t0300500-01	0.1136	0.4910	0.2314
Bradi3g30790	Os10t0508500-00	0.1920	0.5572	0.3446
Bradi5g01240	Os11t0507200-00	0.1859	2.2224	0.0837
Bradi3g35340	Os08t0398800-02	0.1344	0.5352	0.2511
Bradi3g34050	Os10t0573100-01	0.1669	0.6419	0.2600
Bradi1g14660	Os03t0616300-01	0.4307	2.0621	0.2089
Bradi3g24410	Os10t0351700-01	0.4108	63.1795	0.0065
Bradi1g36400	Os06t0607800-01	0.2313	2.0436	0.1132
Bradi1g21470	Os01t0610300-01	0.0895	0.4319	0.2072
Bradi1g33260	Os06t0687100-01	0.0690	0.5326	0.1295
Bradi1g62930	Os03t0341100-01	0.0313	0.9137	0.0342
Bradi1g52220	Os02t0105500-01	0.6487	63.8539	0.0102
Bradi1g62310	Os03t0352800-01	0.2223	70.4585	0.0032
Bradi4g23380	Os11t0195100-00	0.2289	105.1744	0.0022
