Bradi2g53600	Os01t0823400-01
Bradi1g29360	Os08t0246300-01
Bradi4g05580	Os12t0540800-01
Bradi2g12610	Os01t0346700-01
Bradi3g22908	Os10t0188300-01
Bradi3g60658	Os02t0831200-01
Bradi1g28300	Os07t0470800-00
Bradi2g47770	Os01t0706600-00
Bradi1g53410	Os07t0246600-01
Bradi3g50377	Os02t0652550-00
Bradi1g43230	Os06t0297800-01
Bradi2g49010	Os01t0733600-01
Bradi1g66940	Os03t0268300-01
Bradi1g43120	Os06t0300600-01
Bradi5g13190	Os05t0104650-00
Bradi2g40850	Os09t0261100-01
Bradi4g03520	Os12t0580900-01
Bradi1g37400	Os06t0574000-00
Bradi3g02770	Os02t0128800-01
Bradi3g06060	Os02t0180700-01
Bradi4g39400	Os12t0256300-01
Bradi2g39310	Os01t0971500-01
Bradi2g44520	Os01t0635200-01
Bradi3g19714	Os08t0278600-01
Bradi4g00360	Os03t0106500-01
Bradi4g13910	Os10t0411700-01
Bradi3g56270	Os03t0278900-01
Bradi1g42730	Os06t0318200-01
Bradi2g19990	Os05t0513800-01
Bradi3g35470	Os08t0395300-01
Bradi3g48220	Os02t0606000-01
Bradi2g56050	Os01t0866600-01
Bradi1g01900	Os03t0844700-01
Bradi2g51880	Os01t0783400-01
Bradi4g15153	Os11t0581700-01
Bradi1g47440	Os06t0182100-00
Bradi4g42255	Os11t0152025-00
Bradi2g61960	Os01t0970600-01
Bradi3g55070	Os08t0491400-01
Bradi1g65197	Os03t0296500-00
Bradi4g40517	Os12t0197500-01
Bradi3g18970	Os08t0245400-01
Bradi1g67870	Os03t0253600-01
Bradi2g48780	Os01t0728200-01
Bradi3g45250	Os02t0540700-00
Bradi1g32180	Os03t0352300-01
Bradi2g60418	Os01t0603100-01
Bradi4g35890	Os09t0528700-00
Bradi1g07020	Os07t0134800-01
Bradi3g04690	Os01t0702300-00
Bradi5g03455	Os04t0208800-01
Bradi3g39440	Os08t0497900-01
Bradi3g57840	Os02t0768200-01
Bradi2g44260	Os05t0323100-01
Bradi3g27492	Os01t0302800-01
Bradi2g22740	Os05t0467300-01
Bradi2g54590	Os01t0840300-00
Bradi2g25910	Os05t0401100-01
Bradi1g52567	Os07t0409900-01
Bradi1g35220	Os06t0715300-01
Bradi3g55530	Os02t0819200-01
Bradi1g13930	Os03t0640100-01
Bradi2g02950	Os01t0144300-01
Bradi1g77580	Os03t0114800-01
Bradi4g27730	Os01t0525350-00
Bradi4g01900	Os12t0612500-01
Bradi2g43220	Os06t0663300-00
Bradi1g44520	Os06t0245900-01
Bradi2g43600	Os01t0616400-01
Bradi1g54650	Os07t0194800-01
Bradi1g14460	Os03t0625300-00
Bradi4g30360	Os09t0417600-02
Bradi1g17520	Os07t0682000-01
Bradi1g50020	Os06t0132600-01
Bradi2g50080	Os01t0753100-01
Bradi1g21102	Os07t0619700-01
Bradi1g76177	Os03t0133400-01
Bradi5g07140	Os02t0278400-01
Bradi3g01990	Os02t0121300-01
Bradi2g01698	Os01t0125500-00
Bradi4g15480	Os03t0808200-00
Bradi2g45580	Os01t0659200-01
Bradi3g33544	Os10t0563600-01
Bradi1g71300	Os03t0198400-01
Bradi3g06070	Os02t0181300-01
Bradi4g34220	Os09t0498600-02
Bradi5g23330	Os04t0636900-02
Bradi1g57126	Os06t0666750-00
Bradi3g03840	Os02t0149600-01
Bradi4g29410	Os09t0380000-01
Bradi4g38070	Os09t0563200-01
Bradi2g53790	Os01t0827200-01
Bradi1g16517	Os07t0694600-01
Bradi1g61937	Os03t0358000-00
Bradi4g08660	Os09t0251800-01
Bradi2g61276	Os03t0783800-00
Bradi2g37260	Os04t0166000-01
Bradi2g13510	Os04t0244500-01
Bradi4g23610	Os11t0186300-01
Bradi1g62800	Os03t0343700-01
Bradi2g41970	Os01t0584100-01
Bradi1g08710	Os03t0747900-00
Bradi2g11920	Os01t0314600-00
Bradi5g01000	Os07t0115700-00
Bradi3g34500	Os01t0511300-01
Bradi5g18910	Os04t0573300-00
Bradi4g27050	Os09t0279500-01
Bradi3g53160	Os02t0712000-01
Bradi1g43390	Os08t0141000-00
Bradi1g34050	Os01t0256300-00
Bradi1g58980	Os07t0117400-01
Bradi2g60340	Os09t0522000-01
Bradi1g14590	Os03t0617900-01
Bradi2g19200	Os05t0526700-01
Bradi5g00630	Os04t0166400-01
Bradi1g36750	Os06t0601500-02
Bradi4g22780	Os06t0595433-00
Bradi2g53260	Os01t0816100-01
Bradi4g13740	Os11t0615700-01
Bradi2g07590	Os01t0227700-01
Bradi1g60720	Os03t0390200-01
Bradi1g13180	Os03t0659400-01
Bradi2g37111	Os10t0329400-00
Bradi2g31510	Os05t0320700-02
Bradi3g41050	Os08t0528800-01
Bradi1g33210	Os06t0686500-01
Bradi1g07140	Os03t0774300-01
Bradi3g33250	Os10t0559800-01
Bradi1g52510	Os07t0421300-01
Bradi1g25880	Os07t0528900-00
Bradi2g23350	Os05t0458600-01
Bradi1g68085	Os03t0248500-01
Bradi2g34650	Os05t0163300-01
Bradi1g42750	Os02t0719100-01
Bradi5g19857	Os02t0240300-01
Bradi1g23030	Os07t0587300-01
Bradi2g58887	Os01t0919600-01
Bradi1g34640	Os06t0706700-00
Bradi3g21175	Os10t0188000-01
Bradi3g31890	Os10t0531900-01
Bradi1g25960	Os07t0524300-01
Bradi2g35520	Os05t0152600-00
Bradi1g22960	Os07t0588400-01
Bradi5g08778	Os06t0271400-00
Bradi1g04950	Os04t0605900-01
Bradi2g47191	Os06t0726200-02
Bradi1g08390	Os03t0752200-01
Bradi1g09300	Os03t0738400-01
Bradi3g01577	Os02t0116700-01
Bradi5g10210	Os04t0430700-01
Bradi3g54950	Os02t0811800-01
Bradi1g67517	Os03t0260000-01
Bradi1g60480	Os03t0395900-02
Bradi4g07690	Os11t0126800-01
Bradi5g14880	Os04t0503600-01
Bradi2g26406	Os06t0537700-01
Bradi3g58060	Os07t0287400-01
Bradi2g54110	Os01t0833000-01
Bradi4g08647	Os09t0127300-01
Bradi1g67570	Os03t0259300-01
Bradi1g65930	Os03t0283900-01
Bradi2g62310	Os01t0973600-01
Bradi2g13535	Os09t0124800-01
Bradi2g20250	Os05t0511700-01
Bradi2g35870	Os05t0149251-00
Bradi3g29410	Os10t0488100-01
Bradi2g20670	Os05t0501800-01
Bradi1g51270	Os06t0140700-01
Bradi2g56676	Os01t0876800-00
Bradi2g59731	Os02t0722001-00
Bradi4g23640	Os11t0184900-02
Bradi2g23017	Os05t0462600-01
Bradi4g13913	Os04t0127800-01
Bradi4g38060	Os11t0636900-02
Bradi2g55380	Os01t0856900-01
Bradi1g16830	Os07t0690200-01
Bradi1g70150	Os06t0693900-00
Bradi1g15910	Os03t0430000-01
Bradi4g45360	Os11t0100600-01
Bradi3g56660	Os02t0720900-01
Bradi4g41830	Os12t0163500-01
Bradi3g08967	Os02t0233200-00
Bradi2g54680	Os01t0842400-01
Bradi1g69214	Os03t0232200-01
Bradi1g63967	Os03t0320900-01
Bradi4g34022	Os09t0493700-01
Bradi3g11250	Os06t0472700-01
Bradi1g67630	Os03t0257900-02
Bradi5g25382	Os03t0113200-01
Bradi3g16227	Os08t0162250-00
Bradi1g51807	Os08t0323700-01
Bradi1g52100	Os06t0106000-01
Bradi1g47920	Os06t0175500-01
Bradi3g17580	Os08t0150200-01
Bradi3g37300	Os08t0448000-01
Bradi2g52270	Os01t0793500-01
Bradi2g17680	Os05t0548900-01
Bradi1g44890	Os06t0235200-01
Bradi2g45270	Os01t0651150-00
Bradi1g20560	Os07t0628500-01
Bradi5g09390	Os04t0413100-01
Bradi2g07700	Os01t0229200-01
Bradi2g32705	Os05t0206100-00
Bradi4g30570	Os09t0423300-01
Bradi1g15670	Os03t0572900-01
Bradi3g56850	Os02t0733500-01
Bradi5g23590	Os04t0162600-01
Bradi2g14650	Os04t0174900-01
Bradi4g11030	Os11t0660000-01
Bradi3g02670	Os02t0127600-00
Bradi5g18630	Os04t0567700-01
Bradi2g14260	Os05t0594900-01
Bradi4g27334	Os09t0286400-01
Bradi1g32860	Os06t0681400-01
Bradi1g24110	Os07t0570700-01
Bradi4g04830	Os12t0560300-01
Bradi5g23220	Os08t0177700-01
Bradi3g16480	Os08t0157900-01
Bradi1g06366	Os04t0515300-02
Bradi1g77440	Os03t0116500-01
Bradi1g29820	Os06t0727000-01
Bradi3g59260	Os02t0748800-00
Bradi2g05445	Os05t0295100-02
Bradi2g56547	Os12t0236700-01
Bradi5g25987	Os04t0674600-01
Bradi4g38250	Os01t0253200-00
Bradi1g21430	Os07t0615500-01
Bradi3g40470	Os08t0520200-01
Bradi1g13520	Os03t0650700-01
Bradi4g39060	Os12t0285600-01
Bradi1g48530	Os06t0162600-01
Bradi3g34180	Os10t0574800-01
Bradi2g16500	Os03t0619400-01
Bradi1g37040	Os08t0327400-01
Bradi3g47610	Os02t0594300-00
Bradi2g39207	Os10t0132700-01
Bradi1g41820	Os03t0565200-01
Bradi3g29770	Os10t0492400-01
Bradi3g20530	Os03t0644200-01
Bradi3g27381	Os10t0438100-00
Bradi1g66220	Os03t0281000-01
Bradi3g09740	Os02t0259850-00
Bradi4g27810	Os09t0308900-01
Bradi1g44070	Os06t0258000-01
Bradi2g19410	Os05t0521900-00
Bradi1g70170	Os03t0212800-01
Bradi4g04580	Os12t0563500-01
Bradi4g03700	Os12t0578000-01
Bradi3g27231	Os06t0635500-00
Bradi1g14010	Os03t0638800-01
Bradi4g16140	Os11t0568700-02
Bradi3g37090	Os08t0436500-00
Bradi3g41090	Os08t0529100-01
Bradi4g42087	Os12t0158300-01
Bradi2g18240	Os05t0540900-01
Bradi1g04620	Os03t0807900-01
Bradi5g21620	Os04t0613400-00
Bradi2g50020	Os01t0752300-01
Bradi5g26030	Os04t0675500-01
Bradi2g61190	Os01t0955700-01
Bradi2g05050	Os01t0179600-01
Bradi3g60830	Os02t0833050-00
Bradi1g33330	Os06t0688100-02
Bradi5g16707	Os04t0533200-00
Bradi4g29500	Os09t0383300-01
Bradi3g36420	Os05t0543200-01
Bradi2g21230	Os05t0494700-01
Bradi2g61410	Os01t0959900-01
Bradi1g17300	Os07t0686400-00
Bradi3g51370	Os02t0666500-01
Bradi2g31957	Os01t0385400-01
Bradi5g21810	Os04t0615700-01
Bradi1g65170	Os03t0296800-02
Bradi2g21100	Os05t0496500-01
Bradi2g02230	Os01t0133400-01
Bradi1g02570	Os03t0836200-01
Bradi4g40040	Os11t0248200-01
Bradi1g37947	Os06t0558300-00
Bradi2g10180	Os01t0271200-01
Bradi1g44207	Os06t0254600-01
Bradi2g48140	Os01t0715000-02
Bradi3g43370	Os02t0473000-01
Bradi2g26600	Os05t0391500-01
Bradi2g10170	Os01t0271000-01
Bradi1g31810	Os06t0664200-01
Bradi1g53207	Os07t0252400-01
Bradi3g44485	Os02t0519700-01
Bradi2g56370	Os01t0872100-01
Bradi3g18580	Os08t0235800-00
Bradi1g70380	Os03t0210900-01
Bradi2g27290	Os01t0937500-01
Bradi2g02522	Os01t0136500-00
Bradi1g76480	Os03t0129200-00
Bradi1g30970	Os06t0650800-01
Bradi4g11523	Os11t0649700-01
Bradi2g53520	Os01t0821600-01
Bradi4g33700	Os09t0488600-00
